week_start,incident_date,place,summary,category
2025-11-17,2025-11-21,St. Johns Street,We received footage and information from a public member regarding a case that happened in October 2025. The suspect was within our precinct and the public safety team was able to apprehend the suspect and take him to SAPS.,Criminal Incident
2025-11-24,2025-11-24,St Johns Road and Dunkley Street,Public safety officer noticed a man repeatedly walking back and forth past students outside Commercial High School. This area had been the subject of prior complaints regarding casually dressed men selling drugs to schoolchildren. When the suspect was approached and asked to be searched by our Law Enforcement officer he agreed. It was then found that the suspect was in possession of a knife and illegal substances. The suspect was apprehended and taken to SAPS,Criminal Incident
2025-11-24,2025-11-29,Scott Street,LGCID was informed by a property owner that their laptop was stolen after a culprit entered their premises by jumping over their burglar gate and stealing it through the window. The stakeholder was advised to open a case with SAPS and share the case number with the public safety team. [c][d],Criminal Incident
2025-12-01,2025-11-24,Scott Street,"Along Scott Street, a suspect was able to break in and enter, entering through a balcony stealing 1x cellphone and 1x pair of headphones. The victim was encouraged to open a case with SAPS and will be shared with the CID public safety team.",Criminal Incident
2025-12-08,2025-12-09,Glynville Street,A vehicle was broken into in the early hours of the morning on Glynville Street. Items that were stolen were a bag with clothes inside and two pairs of shoes.,Criminal Incident
2025-12-15,2025-12-18,Scott Street,"In the early hours of the morning, a suspect broke in and entered into the property. The suspect was seen by the residents and fled. No items were taken. Residents shared a description of the suspect who had a green hoodie on. No case number from SAPS.",Criminal Incident
2025-12-15,2025-12-19,Roeland Street,Sheeting from the side of the building was stolen in the early hours of the morning. No case number from SAPS.,Criminal Incident
2025-12-15,2025-12-19,Tuin Plein Park,"A joint effort between LGCID, GPOKCID and CBAR resulted in the successful recovery of stolen items from Prince Street, Gardens. Suspects were traced to Tuin Plein Park where an iPhone, gold chain and passport were successfully recovered. The suspect was apprehended and taken to SAPS.",Criminal Incident
2025-12-15,2025-12-18,Wandel Street,Theft out of motor vehicle in the early hours of the morning. Items stolen include a part of the vehicle and personal belongings. No case number from SAPS.,Criminal Incident
2025-12-22,2025-12-25,McKenzie Street,Public safety team noticed that a vehicle that has been parked along McKenzie Road for quite some time has had their wipers removed. No case number from SAPS,Criminal Incident
2025-12-22,2025-12-26,Scott Street,Attempted break in along Scott Street. 2 suspects entered into the property wearing a green hoodie jacket carrying a moonbag and the other suspect had a red hoodie jacket. The suspects fled the scene when the property owner woke up. No case number from SAPS.,Criminal Incident
2025-12-22,2025-12-27,Jutland Park,"Whilst on patrol on McKenzie Street, the public safety officers noticed a suspicious person walking in the park. When they confronted the person, it was found that they were in possession of items which did not belong to them. The suspect was apprehended and taken to SAPS.",Criminal Incident
2025-12-22,2025-12-27,Buitenkant Street,"Whilst on patrol along Buitenkant and Wesley Street, public safety officers caught a suspicious person with possession of housebreaking implements to be used to commit the crime. The person was profiled and taken out of the area",Criminal Incident
2025-12-22,2025-12-25,McKenzie Street,Public safety team was informed by the owner of a parked vehicle along McKenzie that his car was broken into. It was not confirmed whether items had been stolen or not. No case number from SAPS.,Criminal Incident
2025-12-29,2026-01-02,Hope Street,"The LGCID Control room received a message concerning a harassment complaint at Tuin Plein, near 49 Hope Street. The suspect, described as wearing a white baseball cap, jeans, and a black jacket, was intercepted and searched. While the suspect was unarmed at the time of the stop, a knife was recovered nearby in the open space between Buitenkant, Glynn, and Roeland Streets.",Criminal Incident
2026-01-05,2026-01-06,Wembley Street,Resident residing at Wembley Square informed the Lower Gardens CID that there was a vehicle that was broken into at the corner of Wembley and McKenzie. No case number provided.,Criminal Incident
2026-01-05,2025-01-09,Solan Street,The public safety team intervened in a public altercation between two gentlemen. Both were injured with one of them being stabbed. An ambulance was called to the scene with the stab victim being taken to the hospital. SAPS were also on the scene and will further their investigation after the person has recovered in hospital.,Criminal Incident
2026-01-12,2026-01-16,Barnet Street,"The Lower Gardens CID Control room received a message indicating that a housebreaking occurred at their residency. It has been reported that the perpetrators accessed the property from the roof, came down the roof terrace staircase, and forced entry via a sliding door by lifting it off its tracks, gaining access to the first-floor level. The perpetrators stole a laptop, a Stanley knife and an extendable police baton. We are awaiting SAPS case number.",Criminal Incident
2026-01-19,2026-01-21,Mill Street,"LGCID control room dispatched units G5, G6, and Law Enforcement Officer following a report from a resident regarding a smash and grab near the bridge at Buitenkant and Mill Street. Three male suspects smashed the window of a silver Land Rover Discovery and fled toward Lower Gardens with various items, including a laptop. One suspect was apprehended in possession of stolen goods and was taken to SAPS. The other two suspects remain at large.",Criminal Incident
2026-01-19,2026-01-23,Incholm Street,"LGCID was informed of a breaking and entering at Gardens Business Village. The resident was awakened by an intruder inside the flat, who subsequently fled through the front door. The suspect demonstrated prior knowledge of the premises by expertly navigating the door latch before escaping via the courtyard stairs, onto the roof, and descending into Wandel Street. No items were reported stolen. This was reported to SAPS.",Criminal Incident
2026-01-26,2026-01-29,Gordon Street,"On Gordon Street at 11:00, whilst the victim was unpacking their boot, the suspect was able to snatch their cellphone from the boot. Footage of the incident was received and the suspect has been flagged. No case number from SAPS",Criminal Incident
2026-01-26,2026-01-29,Annadale Street,Two suspects who were involved in a chain snatching incident were spotted opposite the Engen Garage in Hatfield street. Both suspects were apprehended and were transported to SAPS via LGCID bakkie and our law enforcement officer.,Criminal Incident
2026-01-26,2026-01-31,Glynville Street,"Whilst on patrol, LGCID public safety officer noticed a parked vehicle with a broken window on the left hand side. The owner confirmed that there were no items stolen. No case number from SAPS.",Criminal Incident
2026-01-26,2026-02-01,Hope Street,LGCID Control room was informed of a theft out of motor vehicle incident. The park vehicle had a smashed window at the back with their suitcase and clothes being taken out the car. A case was opened at SAPS.,Criminal Incident
2026-02-02,2026-02-07,Wandel Street,"When conducting their patrols, public safety officers noted that a vehicle parked had a smashed window. The owner could not be reached and it was not confirmed if any items were stolen. No case number from SAPS.",Criminal Incident
2026-02-02,2026-02-08,Maynard Street,"In the early hours of the morning, a suspect broke in and entered by scaling the wall and stole a garage light and solar panel. The suspect was caught on camera and has been profiled. No case number from SAPS.",Criminal Incident
2026-02-09,2026-02-09,Scott Street,It was reported to the Lower Gardens CID that roof racks were removed and stolen from a white Suzuki swift. The matter was reported to SAPS and CID is awaiting the case number.,Criminal Incident
2026-02-09,2026-02-10,Maynard Street,"LGCID officers G5, G6 and B3 with our law enforcement officer noticed a suspicious person in an engagement with a delivery person along Maynard Street. When they intervened it was noted that the person in question was claiming to be the receipt of the delivery by using an address in Lower Gardens. When questioned it was found that they were not the person and were attempting to scam and take possession of the goods. The perpetrator was taken to SAPS and arrested.",Criminal Incident
2026-02-09,2026-02-11,Upper Canterbury Road,"On the 12th of February, via the LGCID website, it was reported that copper pipes of the air conditioning unit were stolen off the walls.",Criminal Incident
2026-02-16,2026-02-18,Upper Canterbury Road,"On Wednesday evening at approximately 22:23, there was an attempted theft of infrastructure. No SAPS case number was provided.",Criminal Incident
2026-02-16,2026-02-21,Glynn Street,"There was an attempted mugging and malicious damage to property while a victim was entering premises. Two men approached with clear intent, then fled the scene. A case was opened with SAPS.",Criminal Incident
2026-02-23,2026-02-24,Roeland Street,"Public safety officers responded to an altercation between two individuals. After they were separated, it was found that one of the males had allegedly robbed the other the previous day. Officers escorted both the victim and suspect to SAPS, where the victim opened a formal case and the suspect was arrested.",Criminal Incident
2026-02-23,2026-02-25,Barnet Street,"At approximately 23:40, there was a theft out of a motor vehicle on Barnet Street. There was no forced entry into the vehicle. A pram was stolen. Three suspects were identified as the perpetrators and video footage was obtained. No SAPS case was opened.",Criminal Incident
2026-02-23,2026-02-26,Mill Street,"At approximately 04:10, two suspects were observed pushing a wheelie bin marked with an address. Officers requested backup and found vehicle wheels and other items inside, suspected to be stolen. The suspects alleged they received the items from a resident. Officers escorted them to the address on the bin, where they found a damaged vehicle with a broken window and one wheel missing. SAPS responded and arrested both suspects.",Criminal Incident
2026-02-23,2026-02-26,Buitenkant Street,"An LGCID officer was informed about a vehicle break-in at Buitenkant and Glynn streets. A suspect description was provided, and officers confirmed the suspect had entered an illegally occupied building on Hope Street. LGCID officers and law enforcement searched the building, recovered the stolen goods, and found two suspects hiding in the ceiling. SAPS arrested three men on site.",Criminal Incident
2026-02-23,2026-02-27,Scott Street,A resident reported that a number plate was stolen from their vehicle. The public safety team is awaiting a SAPS case number from the complainant.,Criminal Incident
